song_title,emotion,file_path
Ik_Vaari_Aa_Full_Song___Raabta,"happy,irritate,fine,ok,joy,greate,fun,excited,smile,good,trending,new","Ik_Vaari_Aa_Full_Song___Raabta___Sushant_Singh_Rajput___Kriti_Sanon___Pritam_Arijit_Singh_Amitabh_B(256k).mp3"
ILAHI_FULL_SONG_WITH_LYRICS,"happy,irritate,fine,ok,joy,greate,fun,excited,smile,good,trending,new","ILAHI_FULL_SONG_WITH_LYRICS_YEH_JAWAANI_HAI_DEEWANI___PRITAM___RANBIR_KAPOOR,_DEEPIKA_PADUKONE(256k).mp3"
Ishq_Di_Baajiyaan_-_Lyrical,"happy,irritatefine,ok,joy,greate,fun,excited,smile,good,trending,new","Ishq_Di_Baajiyaan_-_Lyrical_Video___Soorma___Diljit_Dosanjh___Taapsee_Pannu___Shankar_Ehsaan_Loy(256k).mp3"
Jaadui__Song__Tu_Jhoothi_Main_Makkaar,"happy,irritate,fine,ok,joy,greate,fun,excited,smile,good,trending,new","Jaadui__Song__Tu_Jhoothi_Main_Makkaar___Ranbir,_Shraddha___Pritam___Jubin_Nautiyal___Amitabh_B(256k).mp3"
Janiye__Lyrics____Vishal_Mishra,"happy,irritate,fine,ok,joy,greate,fun,excited,smile,good,trending,new","Janiye__Lyrics____Vishal_Mishra,_Rashmeet_Kuar_(256k).mp3"
Tauba_Tauba_-_Karan_Aujla__Lyrics,"happy,irritate,fine,ok,joy,greate,fun,excited,smile,good,trending,new","Tauba_Tauba_-_Karan_Aujla__Lyrics_English_Meaning_(256k).mp3"
Tere_Pyaar_Mein_,"happy,irritate,fine,ok,joy,greate,fun,excited,smile,good,trending,new","Tere_Pyaar_Mein__Full_Video__Tu_Jhoothi_Main_Makkaar__Ranbir,Shraddha__Pritam_Arijit,Nikhita,Amitabh(256k).mp3"
Uyi_Amma_-,"happy,irritate,fine,ok,joy,greate,fun,excited,smile,good,trending,new","Uyi_Amma_.mp3"
Gallan_Goodiyaan__Full_Song_with_LYRICS,romantic,"_Gallan_Goodiyaan__Full_Song_with_LYRICS___Dil_Dhadakne_Do___T-Series(256k).mp3"
Subhanallah___Full_Video_Song___Yeh_Jawaani_Hai_Deewani,romantic,"_Subhanallah___Full_Video_Song___Yeh_Jawaani_Hai_Deewani___Pritam___Ranbir_Kapoor,_Deepika_Padukone(256k).mp3"
Aankhon_Mein_Doob_Jaane_Ko___THE_9TEEN,romantic,"Aankhon_Mein_Doob_Jaane_Ko___THE_9TEEN___K3G___Deewani_Hai_Dekho(256k).mp3"
Aaye_Haaye__Official_Video____Karan_Aujla,romantic,"Aaye_Haaye__Official_Video____Karan_Aujla,_Nora_Fatehi,_Neha_Kakkar,_Jay_Trak___Bhushan_Kumar(256k).mp3"
Aayi_Nai__From__Stree_2,romantic,"Aayi_Nai__From__Stree_2__(256k).mp3"
